层
序
号	地层岩性	土类
编号	层底深度
(m)	层厚
(m)	密度
(t/m3)	剪切波速度
(m/s)	备 注
1	素填土	1	1.2	1.2	1.65	163	输出层位
2	粉土	3	3.6	2.4	2.02	183	
3	粉土	3	6.5	2.9	2.02	164	
4	粉土	4	9.8	3.3	2.02	198	
5	粉砂	2	12.8	3	1.85	315	
6	粉砂	2	15.1	2.3	1.85	356	
7	粉砂	2	16.5	1.4	1.85	342	
8	粉砂	2	19.5	3	1.85	342	
9	粉土	5	22	2.5	2.03	387	
10	粉土	5	24.7	2.7	2.03	415	
11	粉土	7	28.7	4	2.05	386	
12	粉质黏土	8	30.6	1.9	1.99	462	
13	粉质黏土	8	34.5	3.9	1.99	475	
14	粉质黏土	10	39.5	5	1.99	474	
15	粉质黏土	11	43.6	4.1	1.83	464	
16	粉质黏土	11	44.0 	0.4	1.83	481	
17	覆盖层	-	-	-	1.98	533	输入层位
